id;uuid;name;registration_number;verified
1;2566a606-7ce8-4b43-b9fe-493b5a27b482;needily;remand;false
2;081649f4-50f0-4bc6-8ccc-526fda791c8a;sans our;or;false
3;03f3bb5c-62aa-48b2-824d-c3fd4cd43a6f;handful;profuse fall;true
4;428e1ab0-7680-48e5-b5ea-4f6f7fcb95dd;step yowza upbeat;patroller divine;true
5;9291b915-6230-4ff2-848b-17b24db284d0;shakily;that pfft upwardly;false
6;ca4890d4-ed32-4c35-8af0-964050a3f3fd;timely;duh typify;true
7;d1652c46-2292-418f-8760-ff598bea7857;outside;descent summary;false
8;2b969074-62d6-4363-b401-95b6f3ddabb9;gosh damaged;lumpy;true
9;2830a07a-0c54-45ee-a818-7768b3e3e28a;where;though respectful although;false
10;bd9767dd-7bab-4060-8a4b-751c74eee7f6;yet qua;duster uproot ha;false
