id;uuid;exercise_repitition;plan_repitition;effective_from;effective_to
1;a1983486-2e48-4d35-97b8-c26775a237f7;5814;18933;2026-03-07;2026-03-08
2;093245e5-91d2-4f71-baa0-8315d1451107;26696;22973;2026-03-08;2026-03-07
3;bace75d8-7884-4b89-8239-9aa04664528d;32540;6220;2026-03-07;2026-03-07
4;a94e3ab4-a03c-423b-bc81-bf66d4d96f36;9440;21970;2026-03-08;2026-03-07
5;50261dd1-06f2-49c2-a4b6-d7652f5cc326;124;13027;2026-03-07;2026-03-08
6;ece47902-a383-40d4-872a-3e60f83e4554;11110;7959;2026-03-07;2026-03-08
7;4d09f95c-876a-4165-9700-0fa3b5dd6ef0;28298;31613;2026-03-07;2026-03-07
8;ac26eb09-a987-4a6f-8225-7ec6dea0daf1;26285;27641;2026-03-08;2026-03-08
9;c0015a96-77bc-4356-8231-30d976e2ca8e;2001;32181;2026-03-08;2026-03-08
10;ff4518e4-010f-446c-a2d2-04486a76a40a;8166;13272;2026-03-08;2026-03-07
